Date,Close,High,Low,Open,Volume
12/20/2021,1031.452637,1049.795744,1017.751792,1049.795744,14325846
12/21/2021,1046.806396,1062.545283,1038.178378,1046.851681,12836561
12/22/2021,1071.649048,1074.276029,1051.675458,1052.988829,17658543
12/23/2021,1071.26416,1077.944706,1068.003195,1075.227155,9072401
12/24/2021,1074.683716,1083.379662,1058.718285,1073.41551,7886494
12/27/2021,1073.528564,1077.038714,1063.496486,1069.588212,4017223
12/28/2021,1086.278198,1089.199529,1074.796776,1075.951651,6374613
12/29/2021,1088.135376,1095.608521,1078.895776,1082.926817,15425312
12/30/2021,1068.47876,1089.245071,1062.36439,1087.003127,29333171
12/31/2021,1072.577637,1079.711028,1068.886349,1074.774296,9477290
1/3/2022,1088.746704,1090.603729,1070.494166,1071.150911,5421611
1/4/2022,1113.317505,1114.630996,1088.814624,1094.204441,10847728
1/5/2022,1118.526001,1121.877655,1101.926588,1115.083898,11643813
1/6/2022,1094.476074,1111.460525,1091.079136,1110.192319,14447422
1/7/2022,1103.308105,1113.294901,1092.234242,1101.020878,13112115
1/10/2022,1104.213745,1112.819241,1094.272236,1110.554656,9246731
1/11/2022,1112.16272,1120.949236,1102.855192,1103.308157,16205164
1/12/2022,1141.851318,1143.595132,1116.442627,1119.296031,14800442
1/13/2022,1148.282837,1150.864534,1136.099383,1141.919403,11856712
1/14/2022,1149.958496,1162.776052,1144.002623,1148.146876,19930176
1/17/2022,1155.959717,1161.734452,1149.052749,1149.505714,8036453
1/18/2022,1142.168335,1160.534083,1139.428142,1157.091981,6215029
1/19/2022,1142.077881,1151.317362,1136.371072,1145.88238,9755485
1/20/2022,1122.081421,1136.801286,1111.913369,1132.3174,16494486
1/21/2022,1122.262573,1133.313793,1110.554727,1110.554727,13338594
1/24/2022,1076.993652,1134.4463,1066.667103,1120.971877,21868937
1/25/2022,1074.887451,1081.862346,1043.975733,1064.153222,24510205
1/27/2022,1058.967407,1067.11994,1046.716026,1058.016312,20020431
1/28/2022,1057.948242,1076.087568,1054.574066,1071.150836,14667727
1/31/2022,1080.933838,1089.901611,1067.165067,1068.976808,12143683
2/1/2022,1077.355835,1096.333045,1063.043649,1090.626357,13200509
2/2/2022,1079.55249,1090.173388,1075.725349,1090.173388,10017691
2/3/2022,1065.602539,1087.659695,1063.088889,1083.379589,9572839
2/4/2022,1055.887573,1063.655187,1051.267833,1060.280891,11061241
2/7/2022,1049.456177,1067.437009,1043.975791,1060.733821,10714467
2/8/2022,1067.097168,1068.886266,1046.240291,1055.593102,12060849
2/9/2022,1079.529785,1081.205552,1067.980435,1073.936188,11486225
2/10/2022,1078.420166,1085.055307,1071.196087,1085.055307,12464491
2/11/2022,1076.314209,1079.982855,1061.684911,1074.887507,15943370
2/14/2022,1059.171265,1066.599125,1047.599152,1059.941221,10719633
2/15/2022,1095.132935,1097.827843,1057.880422,1064.900602,11212671
2/16/2022,1092.868286,1101.949271,1085.168719,1100.590495,10392840
2/17/2022,1106.704834,1111.868108,1091.532123,1096.106579,12853252
2/18/2022,1098.054199,1112.547523,1096.129248,1107.112541,6775458
2/21/2022,1086.957642,1103.987377,1080.028032,1092.437907,11107193
2/22/2022,1082.020874,1085.146105,1063.066306,1065.670525,13494914
2/23/2022,1075.249634,1089.969498,1072.509561,1087.501133,7310110
2/24/2022,1021.669617,1059.782776,1016.076139,1043.975841,24846650
2/25/2022,1034.442017,1045.31198,1030.954509,1032.698203,14570089
2/28/2022,1068.682495,1072.215287,1015.894993,1015.894993,21297446
3/2/2022,1086.346436,1087.456146,1054.936581,1057.314379,21471786
3/3/2022,1077.174683,1093.728811,1073.43811,1087.002982,10186748
3/4/2022,1053.283203,1070.83371,1050.928049,1065.715721,10805667
3/7/2022,1014.332397,1047.191592,1006.383645,1032.064045,17983310
3/8/2022,1012.498047,1017.253761,987.3611212,1001.628023,21289374
3/9/2022,1066.213989,1072.056651,1011.886461,1012.724464,20414228
3/10/2022,1083.49292,1089.267655,1068.886384,1087.00307,17980493
3/11/2022,1086.61792,1091.985094,1076.155518,1076.155518,12257423
3/14/2022,1095.540405,1098.054175,1075.227063,1081.069724,8340678
3/15/2022,1070.44873,1099.661917,1060.212752,1099.661917,15925769
3/16/2022,1088.520142,1090.580947,1076.631039,1078.85034,11149828
3/17/2022,1124.00647,1131.117218,1093.842064,1101.836101,21422098
3/21/2022,1117.529785,1125.048215,1104.666943,1106.931528,11999466
3/22/2022,1146.403198,1148.12425,1111.279421,1114.223274,22557065
3/23/2022,1150.049316,1161.666716,1142.712144,1142.712144,15462187
3/24/2022,1167.916626,1170.407754,1136.823892,1136.823892,13168266
3/25/2022,1175.706909,1184.833178,1167.169339,1169.660467,14222488
3/28/2022,1187.528198,1191.06087,1171.472199,1182.115739,9891424
3/29/2022,1187.799927,1194.797464,1180.938243,1194.797464,8684065
3/30/2022,1210.627075,1217.443475,1185.331594,1195.658143,15811550
3/31/2022,1193.325439,1209.155016,1190.540082,1207.003642,13223718
4/1/2022,1202.88208,1207.09426,1187.550872,1193.891664,7922880
4/4/2022,1206.4375,1211.55549,1196.450705,1202.700928,7929162
4/5/2022,1189.385132,1209.245631,1186.96205,1200.730703,13149870
4/6/2022,1186.214722,1193.212259,1171.74404,1171.74404,12257215
4/7/2022,1165.289917,1180.304133,1162.640293,1175.367281,15496499
4/8/2022,1184.674683,1188.909504,1159.469774,1159.469774,15152495
4/11/2022,1182.206299,1195.046497,1169.886873,1177.586439,9254209
4/12/2022,1159.945557,1178.764273,1157.386502,1171.698688,13217742
4/13/2022,1155.68811,1174.23512,1152.902633,1166.037302,10354235
4/18/2022,1152.155151,1159.379231,1142.168357,1147.241062,9974224
4/19/2022,1196.065796,1208.385225,1155.416461,1158.564215,26141820
4/20/2022,1231.234741,1238.277683,1199.824891,1203.448252,25072240
4/21/2022,1260.062988,1263.1881,1237.371728,1245.93194,21708633
4/22/2022,1249.51001,1269.076039,1242.897391,1249.555294,15054154
4/25/2022,1220.613892,1249.328834,1206.414916,1242.082232,17063215
4/26/2022,1257.141479,1265.905471,1226.365737,1227.407401,12227666
4/27/2022,1258.364746,1280.85211,1247.811653,1248.174049,19338945
4/28/2022,1277.160522,1291.268927,1261.874481,1272.676636,25614076
4/29/2022,1263.754272,1293.601566,1257.888968,1293.601566,18214862
5/2/2022,1259.315552,1270.661121,1249.170142,1250.95924,9467006
5/4/2022,1220.002319,1263.641026,1212.144257,1261.37644,19247660
5/5/2022,1196.11084,1236.465817,1192.079918,1233.521844,17210669
5/6/2022,1186.939331,1204.308701,1174.665189,1183.11219,19649948
5/9/2022,1140.58313,1176.273082,1135.46514,1166.240884,18083752
5/10/2022,1120.813232,1144.342375,1113.272162,1130.03019,19511677
5/11/2022,1109.331909,1125.478478,1096.944555,1119.907523,16643899
5/12/2022,1086.731323,1102.787203,1073.415516,1099.458311,20490321
5/13/2022,1099.050537,1122.330495,1093.95519,1098.77883,19308778
5/16/2022,1099.322388,1123.689294,1094.544032,1102.605995,13437911
5/17/2022,1145.497314,1150.366239,1101.496331,1102.900391,16551828
5/18/2022,1149.664185,1163.999012,1136.031387,1150.253003,17276788
5/19/2022,1123.168457,1137.95625,1116.918234,1125.048124,14699118
5/20/2022,1188.660522,1197.696223,1133.200752,1137.956347,21793091
5/23/2022,1180.71167,1201.840253,1174.416043,1191.853339,15252755
5/24/2022,1184.765381,1194.797461,1176.544922,1180.757101,13527818
5/25/2022,1183.021606,1203.267023,1178.265893,1193.438724,12714544
5/26/2022,1171.744019,1193.393495,1154.034894,1188.637782,17882023
5/27/2022,1166.308838,1179.918993,1150.45674,1174.438727,16521973
5/30/2022,1206.935791,1211.102566,1174.959764,1184.380383,13853398
5/31/2022,1192.37439,1213.276553,1184.697465,1196.337385,70620653
6/1/2022,1192.759399,1202.587699,1184.923859,1193.121676,9776989
6/2/2022,1233.884399,1237.575687,1192.985883,1192.985883,22126569
6/3/2022,1258.885376,1276.028324,1241.900923,1242.806854,23939791
6/6/2022,1253.473145,1274.511163,1246.339633,1259.112027,11093152
6/7/2022,1255.828247,1264.139276,1246.452912,1254.537398,12358255
6/8/2022,1233.771118,1259.564728,1230.260969,1255.828156,12479250
6/9/2022,1267.604126,1269.528958,1227.407639,1227.407639,17278305
6/10/2022,1229.33252,1263.595773,1223.557784,1255.443241,18093057
6/13/2022,1206.075073,1210.55896,1184.969131,1200.232531,17620803
6/14/2022,1190.313599,1210.128814,1183.678337,1200.255229,14714312
6/15/2022,1175.910889,1194.48054,1170.521191,1185.535408,11195535
6/16/2022,1159.469849,1204.331357,1156.752298,1188.003651,17111475
6/17/2022,1173.057495,1188.841669,1157.703644,1159.46998,24457187
6/20/2022,1151.792969,1185.331551,1141.851338,1179.851165,12066797
6/21/2022,1170.385254,1174.597314,1145.112416,1159.469886,11720049
6/22/2022,1134.831177,1158.699956,1132.747729,1158.609386,10617206
6/23/2022,1116.419922,1143.61771,1107.384222,1139.111181,19446323
6/24/2022,1132.317505,1137.276879,1117.801419,1123.23652,14240234
